,Company Name,Job Title,Job Meta Data,Job Details
0,LinkedIn,Staff Software Engineer - Applications,"['Bengaluru, Karnataka, India', ' · ', '5 days ago', ' · ', 'Over 100 applicants', 'Promoted by hirer', ' · ', 'Hybrid', 'Full-time', '']","About the job
LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities, and gain insights. Our global reach means we get to make a direct impact on the world’s workforce in ways no other company can. We’re much more than a digital resume – we transform lives through innovative products and technology.

As a Staff Software Engineer, you will be a key technical leader and role model within the team. We are looking for someone who designs and develops technology to serve business and technology objectives, aligns points of view across teams and makes smart trade offs to help achieve the goals of individual teams as well as LinkedIn’s broader goals. This leader will foster LinkedIn’s culture and values around transformation, collaboration and results.

At LinkedIn, our approach to flexible work is centered on trust and optimized for culture, connection, clarity, and the evolving needs of our business. The work location of this role is hybrid, meaning it will be performed both from home and from a LinkedIn office on select days, as determined by the business needs of the team.

Responsibilities:

Scale distributed applications, make architectural trade-offs applying synchronous and asynchronous design patterns, write code, and deliver with speediness and quality.
Produce high-quality software that is unit tested, code reviewed and checked in regularly for continuous integration.
You will be a role model and professional coach for engineers with a strong bias for action and focus on craftsmanship.
Identify, leverage, and successfully evangelize opportunities and collaborate with cross functional teams to design and build scalable platforms/products/services/tools and to improve engineering productivity in the organisation.
Work with peers across teams to support and leverage a shared technical stack


Basic Qualifications:

- BS Degree in Computer Science or related technical discipline or related practical experience.
- 8+ years experience in software design, development, and algorithm related solutions.
- 8+ years experience programming experience in Java and/or C++

Preferred Qualifications:

- BS 10+ years of relevant work experience, MS 9+ years of relevant work experience, or PhD 7+ years of relevant work experience.
- Experience in designing and building infrastructure and web services at large scale & strong object oriented skills.
- Expert knowledge of computer science, with strong competencies in data structures, algorithms, and software design.
- Experience with object oriented design, coding, testing patterns, and programming languages (Java, C++ etc.).

Suggested Skills:
• Technical Leadership
• Distributed Systems
• Software Design

You will Benefit from our Culture:
We strongly believe in the well-being of our employees and their families. That is why we offer generous health and wellness programs and time away for employees of all levels

India Disability Policy
LinkedIn is an equal employment opportunity employer offering opportunities to all job seekers, including individuals with disabilities. For more information on our equal opportunity policy, please visit https://legal.linkedin.com/content/dam/legal/Policy_India_EqualOppPWD_9-12-2023.pdf

Global Data Privacy Notice for Job Candidates
This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal"
1,Vamaship,Software Development Engineering (Web) Internship in Mumbai (Hybrid),"['Mumbai Metropolitan Region', ' · ', '2 weeks ago', ' · ', 'Over 100 people clicked apply', 'Responses managed off LinkedIn', 'On-site', 'Internship']","About the job
This job is sourced from a job board. Learn More
We’re not just looking for someone who can code — We’re looking for someone who lives and breathes engineering. At our fast-growing tech logistics company, you’ll join a team of serious engineers who care deeply about performance, scalability, and writing code that lasts. You'll be building real product features using PHP, Vue.js, React.js, MariaDB, AWS, and Google Cloud, and enhancing your workflow with AI tools like Cursor or VS Code + Copilot. If you're the kind of person who obsesses over code quality, loves clean architecture, and gets a rush from optimizing milliseconds — you'll fit right in.

Selected Intern's Day-to-day Responsibilities Include

 Develop scalable backend logic in PHP and efficient queries in MariaDB
 Build dynamic frontend components using Vue.js and React.js
 Use AI-enhanced IDEs (like Cursor or Copilot) to improve code speed, clarity, and maintainability
 Collaborate on real product modules used by thousands of businesses
 Engineer for performance: clean structure, reusable components, and future-proof design
 Learn cloud infra by deploying to AWS & Google Cloud

What Makes This Internship Different

 You’ll work with true engineers, not just ""devs""
 Get mentored by a hardcore tech team that loves solving real problems
 Use tools like Raspberry Pi, 3D printers, AR/VR headsets, 360° GoPros, and more
 Take part in fun geek rituals like:
 Rubik’s Cube speed-solving battles
 Typing speed leaderboards
 And yes… we use mechanical keyboards
 We value curiosity, code craftsmanship, and a bit of nerdy obsession.

Who You Are

 Pursuing B.Tech / BSc IT / MCA or have strong self-taught coding skills
 Have experience with (or keen interest in) PHP, Vue, React, SQL/MariaDB
 You're not just learning to build, you're learning to engineer
 Comfortable using AI tools to boost productivity — but never compromise quality
 Bonus: You tinker, break stuff, build side projects, or love debugging deep into the night

What You’ll Get

 Hybrid work model – come to our Mumbai office and also work from home
 Access to cool tech gear and collaborative spaces
 Opportunity to turn your internship into a full-time engineering role
 Build real things that go into production — no ""dummy intern tasks""
 Learn from a tech team that codes smart and lives smarter

About Company: Vamaship is a tech-driven logistics aggregator that empowers e-commerce sellers across India. By partnering with leading courier services like BlueDart and Delhivery, Vamaship streamlines shipping through real-time tracking, delivery & returns management, COD management, and timely communication at critical milestones. As an intern, you'll gain hands-on experience in a dynamic environment, learning about cutting-edge supply chain technology while helping create seamless shipping solutions for growing online businesses.

Desired Skills and Experience
MySQL, HTML, CSS, JavaScript, PHP"
2,Indo Thai Securities Ltd,Software Development Engineering (Web) Internship in Indore,"['Indore, Madhya Pradesh, India', ' · ', '1 month ago', ' · ', 'Over 100 people clicked apply', 'Responses managed off LinkedIn', 'On-site', 'Internship']","About the job
This job is sourced from a job board. Learn More
Selected Intern's Day-to-day Responsibilities Include

Collaborate with the development team to design and implement user-facing features using React.
Assist in integrating frontend components with backend services.
Write clean, efficient, and well-documented code in Python.
Work with SQL databases for efficient data storage and retrieval.
Troubleshoot and debug issues to ensure a seamless user experience.
Participate in code reviews and contribute to team discussions.

About Company: Indo Thai believes in rendering the most moral and output-based monetary services since its establishment. We are more inclined towards offering meticulous trading experiences to our clients. We effortlessly work to improvise. However, clients have maintained our trust over the years, making us the foremost broking company across central India.

For the past 20 years, we have been providing our services to corporate clients, affluent individuals, and retail investors. Eventually, we are outshining in the market because of the strong support of our customers and with the potential personnel.

The entire Indo Thai cluster has faith in conserving & reinforcing relations with our clients & business associates. We believe in complete transparency & satisfaction of our clients with a steady focus on professional excellence and uprightness.

Desired Skills and Experience
Java, PHP, MySQL, HTML, CSS, JavaScript, jQuery, Python"
3,Google,"Software Application Development Apprenticeship, March 2026","['Mumbai, Maharashtra, India', ' · ', ' · ', 'Over 100 people clicked apply', 'Responses managed off LinkedIn', 'On-site', 'Internship']","About the job
Please complete your application before September 14th, 2025.

ELIGIBILITY CRITERIA:

Applicants should not have been enrolled in any prior Government Apprenticeship programs.
Applicants must have their Aadhaar number linked to their active mobile number and have a personal email ID. This is a mandatory requirement for registration and verification.

PLEASE NOTE:

Apprentices are expected to complete the tenure of the respective program track to receive the certificate of completion in accordance with the program guidelines. This timeline ensures you get the full value of the program and are best prepared for future opportunities. Apprentices may apply for full-time employee (FTE) roles at Google only when they reach the final three months of the apprenticeship program.

This is a hybrid role, which requires regular in-person work at a Google office. Relocation is not supported during the apprenticeship. We are looking for candidates who are committed to successfully completing the entire program in a hybrid capacity.

The whole process will spread across 18 to 24 weeks, kindly be patient during the same.

Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Bengaluru, Karnataka, India; Gurgaon, Haryana, India; Hyderabad, Telangana, India; Mumbai, Maharashtra, India.Minimum qualifications:

Bachelor's degree in Engineering, a related field, or equivalent practical experience.
Less than 1 year of experience programming in one or more of the following languages: Java, C++, or Python.

Preferred qualifications:

Experience using Google Workspace or a similar suite of productivity tools.
Experience thinking critically and excellent problem solving capabilities.
Ability to work independently and within a team framework.
Ability to navigate multiple ambiguous tasks and competing priorities while finding suitable solutions and seeking help/advice where appropriate.
Enthusiasm and passion for new technologies, demonstrated through personal projects and commitment to learning new skills.
Excellent communication and organizational skills, positive attitude, and customer service capabilities.

About The Job

The Google Software Application Development Apprenticeship is a learning and development program for 12 months, Apprentices are expected to join in person at their assigned in-office and participate full-time (~40 hours, weekly) throughout the program. The program includes work experience with a Google team supported by external training to empower those looking to start a career in Software Application Development.You will spend 20% of your time studying in a tailored training program and the rest of the time on projects with assigned Google teams to gain direct experience.

As a Software Application development apprentice at Google, you will develop the skills you need to pursue an entry-level career in software development. You will get exposure to a range of different roles across the company including coding, development, testing, and project management. Additionally, you will learn how to apply problem solving skills to real-life challenges, pick up new technical skills such as programming in multiple languages, learn about software testing and other industry practices, and see how software is designed and developed.

This apprenticeship is intended for individuals who have graduated and want to learn and develop entry-level technical and professional skills in software development. If you’re currently pursuing or have completed a degree in a Software Engineering (SWE)-related field, we encourage you to browse our University Graduate & Internship opportunities.

Apprenticeships are not a full-time permanent opportunity, the program is 12 months in duration. While the program is open to those who are interested in software development careers, recent graduates and individuals with work experience in other industries may apply.

At Google, we don’t just accept differences — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products, and our community.

Apprenticeships contribute towards the development of digital skills by providing opportunities for work and study. They can serve as part of your journey to a meaningful career. During the program, apprentices get exposure to different areas and teams at Google, while receiving external training and developing their professional skills on the job.

Responsibilities

Learn and follow coding standards and ensure compliance with quality measures.
Support your team in the development of software based on agreed projects and platforms. Contribute to most aspects of development including implementation, unit testing, and integration to ensure high quality deliverables.
Apply knowledge gained in apprenticeship to real world applications.
Ensure code is tested in accordance with the guidelines provided by the team or your manager.


Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form ."
4,Zetheta Algorithms Private Limited,Artificial Intelligence Intern,"['India', ' · ', '1 day ago', ' · ', 'Over 100 applicants', 'Promoted by hirer', ' · ', 'No response insights available yet', 'Remote', 'Internship', '']","About the job
About the Company
ZeTheta Algorithms Private Limited (www.zetheta.com) is a FinTech start-up which has been recently set up and is developing innovative AI tools.
https://www.instagram.com/zetheta.official/
About the Role
We are seeking a talented and motivated student intern to develop AI models from scratch within a 2 month timeframe. This is an extraordinary opportunity for a self-driven, technically skilled student to build a complete enterprise-grade system that incorporates cutting-edge AI technologies including deep learning.
Responsibilities
Design and implement the complete AI Models following provided specifications
Develop both frontend and backend components of the platform
Create and integrate AI modules
Design and optimize database schema and queries
Ensure system security, especially for sensitive identity verification data
Deploy the solution using zero-cost cloud services
Document code, APIs, and system architecture
Complete the entire project within the 2 month timeline
Qualifications
A student who is currently pursuing or recently completed a degree in Computer Science, AI/ML, or related field.
Required Skills
Strong programming skills in Python and JavaScript
Experience with React.js for frontend development
Knowledge of FastAPI or similar Python web frameworks
Familiarity with database design and SQL (particularly PostgreSQL)
Understanding of basic machine learning concepts
Self-motivated with ability to work independently
Preferred Skills
Sound knowledge of AI/ML libraries (TensorFlow, Keras, HuggingFace Transformers)
Familiarity with computer vision techniques using OpenCV
Knowledge of natural language processing concepts
Sound knowledge of facial recognition or emotion detection systems
Understanding of identity verification methodologies
Docker containerization experience
Prior work with cloud deployment (AWS)
Who Should Apply?
Student or fresh graduate from any academic discipline.
Strong analytical and problem-solving skills.
Basic knowledge of Microsoft Office.
Willingness to self-learn and work in a fast-paced environment.
Internship Details
Duration: Self paced, options for 1,2,3,4 or 6 months.
Type: Unpaid"
5,Goldman Sachs,Engineering-L2-Bengaluru-Vice President-Software Engineering,"['Bengaluru, Karnataka, India', ' · ', '2 weeks ago', ' · ', '34 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'Full-time']","About the job
Job Description

What We Do: 

At Goldman Sachs, our Engineers don’t just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Create new businesses, transform finance, and explore a world of opportunity at the speed of markets. Engineering, which is comprised of our Technology Division and global strategists groups, is at the critical center of our business, and our dynamic environment requires innovative strategic thinking and immediate, real solutions. Want to push the limit of digital possibilities? Start here.

Generative AI & Document AI Platform team develops and operates the AI platform services needed to enable Generative AI use cases using Large Language Models (LLM) across the firm in a safe and responsible manner while enabling experimentation, development, and productization of GenAI use cases.

The team is responsible for enabling document-to-information workflow and use cases across the firm. This includes support for document processing, information extraction, labeling, custom model development, document storage, and use of documents with RAG and LLMs.

Who We Look For Goldman Sachs Engineers are innovators and problem-solvers, building solutions in risk management, big data, mobile and more. We look for thought leaders who are passionate about digital transformation, increasing operational efficiency through automation, reduce technical debt and develop highly scalable and reliable applications. They should be creative collaborators who evolve, adapt to change, and thrive in a fast-paced global environment.

YOUR IMPACT

Goldman Sachs is seeking a senior application developer to join our dynamic Generative AI & Document AI Platform team. As an integral part of the team, you will play a pivotal role in building scalable platforms on the cloud and driving the adoption of cutting-edge Generative AI technologies at the firm. In this role, you will have the opportunity to contribute to various AI/ML domains, including but not

limited to machine learning, deep learning, natural language processing, information retrieval, time series analysis, and recommender systems. As an experienced AI Researcher, you will help address the unique challenges that arise in machine learning systems within the financial domain. Join us in redefining the boundaries of what's possible in the intersection of quantitative research and artificial intelligence! Your Responsibilities Will Include

Minimum 7 years - 12 years of relevant industry experience
Strong programming expertise in Python/
Experience with relational databases (e.g. SQL, Postgres) and non-relational databases (e.g. Mongo, DynamoDB)
Experience of using and developing RESTful web Services
Experience in building scalable distributed platforms on AWS
Experience or interest in building mission critical and highly available systems
Experience of end-to-end design and implementation of software products
Team player, eager to work in a regional agile/scrum pod within a global organization
Analytical mindset, creativity, and commercial focus to deliver optimal solutions for the business. Strong oral and written communication skills

Preferred Qualifications

Experience with the some of the following is advantageous, but not mandatory:
Architecting distributed platforms for optimal performance, scalability, availability, and reliability
Runtime containers (e.g. Kubernetes, Docker)
Full stack development with a major web SPA framework such as React or Angular
Familiar with CI/CD, DevOps, and SRE principles
Familiarity with technologies like Langchain and RAG

About Goldman Sachs

At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.

We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.

We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability-statement.html

© The Goldman Sachs Group, Inc., 2023. All rights reserved.

Goldman Sachs is an equal employment/affirmative action employer"
6,Bristlecone,Software Engineer - Cloud & Application Engineering,"['Pune, Maharashtra, India', ' · ', 'Reposted 1 week ago', ' · ', 'Over 100 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'On-site', 'Full-time']","About the job
Role Description

 JOB DESCRIPTION 

Role played will be that of a Senior Java Specialist.
Will be a strong technical mentor and a leader.
Will be a continuous learner of technology.
Will share his learning regarding the project functionality with the team.
Will have good client facing skills and win client confidence as soon as possible.
Will use third party APIs for developing different features.
Will be doing code reviews.
Will help the team members in trouble shooting technical problems.
Will contribute in pre-sales activities and provide technical solutions in proposals.
Will do a number of POCs and will contribute in creating prototypes.

Responsibilities

 QUALIFICATIONS 

Qualifications And Experience

Should have at least 7 years core Java development experience. 

Technical Skills

Should be well versed with data structures.
Should be well versed with OOPs concepts.
Should be well versed with Java 8 functionalities.
Should be well versed with concurrency package.
Should be well versed with Stream API, Generics and Lambda expressions.
Should have strong knowledge of the Collections Framework.
Should be well versed with Java coding standards.
Should have strong knowledge of GoF Design Patterns. 
Should be aware of various third party libraries.
Should have strong design and architecture concepts.

Behavioural And Soft Skills

Proactive
Leadership skills
Quick Learner 
Good analytical and trouble shooting skills
Customer Sensitivity
Excellent verbal and written communication 

About Us

 ABOUT US 

Bristlecone is the leading provider of AI-powered application transformation services for the connected supply chain. We empower our customers with speed, visibility, automation, and resiliency – to thrive on change.

Our transformative solutions in Digital Logistics, Cognitive Manufacturing, Autonomous Planning, Smart Procurement and Digitalization are positioned around key industry pillars and delivered through a comprehensive portfolio of services spanning digital strategy, design and build, and implementation across a range of technology platforms.

Bristlecone is ranked among the top ten leaders in supply chain services by Gartner. We are headquartered in San Jose, California, with locations across North America, Europe and Asia, and over 2,500 consultants. Bristlecone is part of the $19.4 billion Mahindra Group.

Equal Opportunity Employer

Bristlecone is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status .

Information Security Responsibilities

 Understand and adhere to Information Security policies, guidelines and procedure, practice them for protection of organizational data and Information System. 
 Take part in information security training and act while handling information. 
 Report all suspected security and policy breach to InfoSec team or appropriate authority (CISO). 
 Understand and adhere to the additional information security responsibilities as part of the assigned job role."
7,Pocket FM,SDET Intern,"['Bengaluru, Karnataka, India', ' · ', 'Reposted 1 week ago', ' · ', 'Over 100 applicants', 'Promoted by hirer', ' · ', 'On-site', 'Full-time']","About the job
Job Title: SDET Intern

About the Role:
We are looking for a passionate and driven SDET Intern to join our QA/Engineering team. As an SDET I, you will work closely with our developers and QA engineers to design, develop, and execute automated tests that ensure the quality of our products. This internship is a great opportunity to gain hands-on experience in test automation, CI/CD pipelines, and scalable testing frameworks.
Responsibilities:
Collaborate with developers and QA engineers to understand product requirements and functionality
Design and develop automated test cases for web, mobile, and/or backend applications
Participate in code reviews and contribute to continuous test integration and deployment pipelines
Execute manual test cases when necessary and report issues in a clear, concise manner
Analyze test results, debug issues, and work with teams to ensure timely resolutions
Maintain and enhance existing automation frameworks and test scripts
Qualifications:
Pursuing or recently completed a Bachelor’s/Master’s degree in Computer Science, Engineering, or related field
Strong programming knowledge in one or more languages (Python, Java, etc.)
Understanding of software testing concepts, including test case design, regression, and performance testing
Familiarity with automation tools like Appium or REST-assured is a plus
Good problem-solving skills and attention to detail
Excellent communication and collaboration skills
Will be good if candidates have good understanding about mobile app testing guidlines
Good to Have:
Exposure to CI/CD tools like Jenkins, GitHub Actions, GitLab CI
Knowledge of testing APIs using tools like Postman or Swagger\
Experience with version control systems like Git
Familiarity with agile development methodologies"
8,IG Tech,Artificial Intelligence & Machine Learning Intern,"['India', ' · ', '2 days ago', ' · ', 'Over 100 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'Remote', 'Internship']","About the job
Artificial Intelligence & Machine Learning Intern
📍 Location: Remote (100% Virtual)
 📅 Duration: 3 Months
 💸 Stipend for Top Interns: ₹15,000
 🎁 Perks: Certificate | Letter of Recommendation | Full-Time Offer (Performance-Based)
About INLIGHN TECH
INLIGHN TECH is a future-ready edtech company providing hands-on, project-based virtual internships to help students and graduates build practical skills. Our AI & ML Internship is tailored for aspiring professionals looking to gain real-world experience in artificial intelligence and machine learning through coding, experimentation, and project development.
🚀 Internship Overview
As an AI & Machine Learning Intern, you'll work on real datasets and implement ML algorithms to solve classification, regression, and clustering problems. You'll get the opportunity to apply deep learning models, understand the ML pipeline, and contribute to AI-powered projects under expert guidance.
🔧 Key Responsibilities
Clean and preprocess datasets for machine learning
Build and evaluate models using libraries like Scikit-learn, TensorFlow, or PyTorch
Implement algorithms such as Linear Regression, Decision Trees, SVM, K-Means, and Neural Networks
Work on real-world AI applications like image recognition, sentiment analysis, or recommendation systems
Visualize model performance using Matplotlib, Seaborn, or Power BI
Collaborate in a team environment using Git/GitHub and participate in code reviews
Document model assumptions, evaluation results, and future improvements
✅ Qualifications
Pursuing or recently completed a degree in Computer Science, AI, Data Science, or a related field
Strong foundation in Python, statistics, and machine learning concepts
Familiarity with Numpy, Pandas, Scikit-learn, and deep learning frameworks
Understanding of the ML lifecycle, from data collection to deployment
Good problem-solving skills and an eagerness to learn
Bonus: experience with NLP, computer vision, or ML model deployment (Flask/Streamlit)
🎓 What You’ll Gain
Hands-on experience with real-time AI and ML projects
A portfolio of ML models, visualizations, and predictive tools
Internship Certificate upon successful completion
Letter of Recommendation for top performers
Opportunity for a Full-Time Offer based on your work
A strong foundation to pursue roles in ML engineering, data science, and AI research"
9,Microsoft,Software Engineering II [Frontend],"['Noida, Uttar Pradesh, India', ' · ', '1 week ago', ' · ', 'Over 100 people clicked apply', 'Promoted by hirer', ' · ', 'Responses managed off LinkedIn', 'Hybrid', 'Full-time']","About the job
At Xbox, we believe in our mission of reaching over 2 billion gamers worldwide.  Gaming today brings people from all walks of life and geographies together—centering them around the thing they love most—GAMES! 

 

The Xbox Experiences and Platform Commerce (XPC) team is responsible for ensuring publishers have low friction access to our ecosystem, rich insights into the publishing experience, and a world class platform to provide their content to Gamers around the world.  We work closely with partner teams across Xbox, as well as both internal and external game studios to further these goals.  We’re always striving to find new and innovative ways of incorporating the latest in design patterns, cloud tech, and machine learning to create better experiences – all while maintaining very high availability services and ensuring the safety and security of our customers’ data. 

We are looking for a Software Engineer to help us build store and creator experiences. In this role you will work with a diverse team of engineers to develop new platform features and deliver innovative gaming experiences in web. You will collaborate with geographically distributed program management, UX design, and engineers to implement and roll out features and solutions that delight our customers. 

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond. 

Responsibilities

 Responsibilities include: 

Learn about various tools and technologies and effectively use them to deliver a wide variety of customer experiences. 
Implement, validate, and release high quality product features. 
Adhere to modern engineering principles and practices. 
Collaborate with other engineers and program managers to make impactful changes. 
Actively contribute to a flexible, diverse, and inclusive culture that brings out the best in the team. 

Qualifications

Required: 

BS or MS in Computer Science or equivalent. 
3+ years of experience in software development skills building end-user applications 
Understanding of data structures, algorithms, threading, synchronization. 
Experience building React, Angular or Typescript applications 
Good design and coding skills in JavaScript 
A strong interest in bringing end user experiences to a gaming audience and an understanding of their needs 

Preferred: 

Experience using real time data signals to monitor and alert on product health 
Experience shipping web applications using React JS and Typescript 
Experience shipping cross-platform applications using React JS and Typescript 
Understanding of modern web app development against cloud service dependencies 
Technical knowledge and understanding of challenges related to the gaming space, including but not limited to responsive UX design across device form factors, navigational input including gamepad, touch, and mouse/keyboard. 

#GTA

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations."
