,Company Name,Job Title,Job Details
0,NVIDIA,DevOps and Automation Engineer,"About the job
NVIDIA is at the forefront of innovation in AI, high-performance computing, and visualization. Our invention—the GPU—has transformed modern computing and powers everything from scientific breakthroughs to autonomous vehicles. As we drive the next wave of artificial intelligence, we’re looking for outstanding engineers to join us.

We're seeking a DevOps and Automation Engineer to join our software infrastructure team. In this role, you'll build and enhance the systems that support large-scale GPU clusters—interconnected via NVLink and InfiniBand—that run today's most fast paced HPC and AI workloads.

What You’ll Be Doing

Build and maintain CI/CD pipelines that support fast, reliable integration and deployment across complex systems.
Design tools and automation workflows that simplify software releases, manage dependencies, and increase reliability.
Accelerate development by modularizing systems and enabling independent release cycles.
Build infrastructure automation for provisioning, scaling, and maintaining GPU clusters.
Automate software updates and monitor system health to improve reliability and availability.
Troubleshoot and resolve operational issues across distributed infrastructure.
Manage firmware and software rollouts to minimize downtime and ensure consistency.
Work with global engineering teams to align infrastructure tools and support project achievements.

What We Need To See

BS or MS in Computer Science, Computer Engineering, or a related field—or equivalent hands-on experience.
5+ years of experience managing infrastructure or systems in high-performance or distributed environments.
Expertise in scripting and automation using Python, Ansible, and Shell.
Practical experience with modern CI/CD tools and infrastructure-as-code frameworks.
Strong understanding of Linux, networking, and distributed system design.
Ability to break down monolithic systems into scalable, loosely coupled components.
Strong cross-functional communication and collaboration skills.

Ways To Stand Out From The Crowd

Experience with cluster management tools like Slurm.
Familiarity with NVIDIA DGX systems and GPU-based clusters.
Knowledge of observability tools such as Prometheus and Grafana.
Proven ability to lead DevOps process improvements and drive team efficiency.

NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most forward-thinking and hardworking people on the planet working for us. If you're creative and autonomous, we want to hear from you!

JR2000937"
1,Sony Research India,Machine Learning Consultant,"About the job
Sony Research India is driving cutting-edge research and development in various locations around the globe, including laboratories in Japan, the United States, Europe, and Asia. We endeavor to create new technology, products, and services while sustaining Sony Group’s diverse businesses in electronics, entertainment, and financial fields. For our research centre to blaze a trail in the latest technologies, we seek to foster the growth of a diverse pool of research and engineering talent and create a technology talent bank to drive research excellence worldwide. Sony Research India is offering outstanding career opportunities around frontline technologies such as AI and data analytics.

We are looking for a highly motivated research consultant who can assist in our research and development efforts on large-scale user engagement predictive models. The ideal candidate should have prior experience in Deep Learning, Natural Language Processing. 

Key Responsibility:
• Developing models to analyze user behavior patterns on OTT platforms and predicting their likelihood of leaving, along with plausible reasons behind their behavior. 
• Building causal inference–based intervention models aimed at retaining users on the platform. 
• Contributing to developing and evaluating models (including user engagement foundation model) leveraging pre-trained LLMs. 
• Work closely with other research scientists, engineers, and product teams fostering a collaborative and intellectually stimulating environment. 
• Contribute to millions of OTT platform users towards improving their experience by leveraging AI capabilities. 
• Contribute to the research community by sharing insights and participating in external academic workshops and conferences. 

Work Location:
Remote within India,

Duration of the paid contractual role:
The annual paid direct contractual tenure is extendable. 
Ideally this position will start from second week September 2025. 
 The working hours are from 9:00 to 18:00 (Monday to Friday) full-time. 

Essential Education:
Pursuing or completed masters or bachelor’s in computer science or similar background. 

Must Have Skills & Abilities:
A strong background in applied deep learning and machine learning, both in terms of conceptual understanding, as well as practical experience. 
A good understanding on handling large scale datasets with SQL. 
Understanding about current start of the art machine learning literature. 
Prior experience in developing large scale prediction and reasoning models. 
Strong knowledge and interest in LLMs (fine-tuning, training and using LLMs). 
Proficiency in hands-on with Python and one or more popular deep learning framework. 
Ability to envision new ideas and proving them through theory and/or experiments. 
Knowledge of working on any cloud platform, preferably AWS, is desirable. 

Good to Have Skills:
0-1 year of work experience in building and deploying large-scale predictive models in production. 
0-1 year of work experience in LLM/NLP projects within a start-up environment. 
Good publication record, with publications in major machine learning conferences (e.g. NeurIPS, ICML, KDD, AAAI, SIGIR, RecSys, WSDM, ICDM, ECML, etc.).

Our Values:
Dreams & Curiosity: Pioneer the future with dreams and curiosity.
Diversity: Pursue the creation of the very best by harnessing diversity and varying viewpoints.
Integrity & Sincerity: Earn the trust for Sony brand through ethical and responsible conduct.
Sustainability: Fulfil our stakeholder responsibilities through disciplined business practices.

Sony Research India is committed to equal opportunity in all its employment practices, policies and procedures and to ensuring that no worker or potential worker will receive less favourable treatment due to any characteristic protected under applicable local laws."
2,HSBC,Oracle Database Administrator/Senior Software Engineer,"About the job
Job Description

Some careers shine brighter than others.

If you’re looking for a career that will help you stand out, join HSBC and fulfil your potential. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further.

HSBC is one of the largest banking and financial services organisations in the world, with operations in 64 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people to fulfil their hopes and realise their ambitions.

We are currently seeking an experienced professional to join our team in the role of Senior Software Engineer

In this role, you will:

Perform oracle database engineering build, delivery, support.
Creating storage database structures with high-level security features.
In line with the DevOps strategy, you will work closely with the application and infrastructure POD SMEs to ensure these critical services function to the required standards.
Automate the common database tasks through configuration management.
Altering storage structures to meet the evolving needs of the company.
Provide database technical experience and troubleshoot issues when faced in real time environment. 
Make the environment better by identifying the problems and improve the monitoring.
Strong on Backup/Recovery RMAN.
Knowledge of ASM, Dataguard Mandatory

Requirements

To be successful in this role, you should meet the following requirements:

Seven plus years of Oracle database experience preferably in oracle (12c, 19c )
Devops hands-on experience in Ansible would be preferred.
Knowledge on other various DB technologies (PostgreSQL, Sybase, SQL Server) 
Experience of Vagrant, VM and scheduling tools (or ready to learn)
Knowledge of modern Devops tooling such as (Software automatic deployment tools, GIT, VM, Cloud technologies, API development, configuration management)
Participate in platform improvement initiatives like improvement of performance, production stability.
Experience working in fast-paced, collaborative Agile environment, excellent in problem solving, interpersonal and presentation skills.
Ownership of problems to complete resolution, good communication to the stack holders for tasks updates and delivery

You’ll achieve more when you join HSBC.

www.hsbc.com/careers

HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.

Issued by – HSBC Software Development India"
3,Edza AI,Software Engineer,"About the job
Company Description
Edza AI is India’s AI Personal Tutor that replicates the real learning experience of 1:1 tutoring. Unlike traditional EdTech platforms, Edza AI adapts to your pace, syllabus, and areas of improvement in real-time. It is designed for students preparing for JEE, NEET, and Board Exams, providing features like 1:1 voice call-based tutoring, collaborative whiteboard, adaptive tests, and multilingual support. Our platform aims to address the lack of personal attention in online education by bringing a peer-to-tutor ratio tech solution.

Role Description
This is a remote role for a Software Engineer. The Software Engineer will be responsible for assisting in software development tasks, back-end web development, and programming. The engineer will work closely with the development team to design, develop, and maintain software applications.

Qualifications
Knowledge of Computer Science fundamentals
Experience in Back-End Web Development and Software Development
Proficiency in Programming and Object-Oriented Programming (OOP)
Strong problem-solving and analytical skills
Effective communication and teamwork abilities
Ability to work independently in a remote environment"
4,UM IT Solutions,Web Developer Intern,"About the job
Web Developer Intern (Paid)
Company: Unified Mentor
Location: Remote
Duration: 3 months
Application Deadline: 13th September 2025
Opportunity: Full-time role based on performance + Internship Certificate
About Unified Mentor
Unified Mentor provides students and graduates with hands-on experience in web development, helping them build skills and portfolios through real-world projects.
Responsibilities
Assist in designing and coding responsive websites
Work on front-end and back-end frameworks for project development
Test and debug code to enhance user experience
Requirements
Proficiency in HTML, CSS, and JavaScript
Familiarity with frameworks like React, Angular, or Node.js (preferred)
Strong communication and time management skills
Stipend & Benefits
Stipend: ₹7,500 - ₹15,000 (Performance-Based) (Paid)
Hands-on web development experience
Certificate of Internship & Letter of Recommendation
Opportunity to build a portfolio with real-world projects
How to Apply
Submit your application with the subject line ""Web Developer Intern Application.""
Equal Opportunity: Unified Mentor welcomes applicants from all backgrounds."
5,TekWorks,Associate Software Engineer (Fresher),"About the job
THIS REQUIREMENT IS FOR A CLIENT!!

Job Overview:

As an Associate Software Engineer at our Hyderabad office, you’ll kickstart your career by working on real-time projects that impact users directly. You’ll be part of a passionate team where learning and innovation are encouraged. This role is perfect for fresh graduates who are eager to apply their technical knowledge, solve problems, and build robust software solutions. You will receive hands-on experience, guidance from industry experts, and opportunities to grow your technical skills while contributing to exciting projects.

What You’ll Do:

Collaborate with the engineering team to design, develop, and maintain web and mobile applications.
Write clean, efficient, and scalable code based on requirements.
Participate in code reviews, testing, and debugging to ensure high-quality software delivery.
Work closely with cross-functional teams including product, design, and QA to meet project goals.
Learn and apply best practices in software development and contribute to improving existing processes.

What We’re Looking For:

Bachelor’s degree in Computer Science, Information Technology, or related field.
Strong fundamentals in programming concepts and data structures.
Hands-on knowledge of at least one programming language like Java, Python, C#, JavaScript, etc.
Familiarity with web technologies such as HTML, CSS, and RESTful APIs is a plus.
Good problem-solving skills and eagerness to learn new technologies.
Ability to work in a team and communicate effectively."
6,Abekus,Java Developer - Remote,"About the job
Role Description
We are looking for a talented Java Developer on a full-time, remote basis. In this role, you will be responsible for designing, developing, and maintaining high-performance software applications with a focus on microservices architecture. You will utilize your expertise in Java and the Spring Framework to build scalable, secure, and reliable solutions that meet business and technical requirements.

Key Responsibilities
Design, develop, and maintain scalable Java-based applications
Build and implement microservices architecture using Spring Boot and related frameworks
Write clean, efficient, and well-documented code adhering to best practices
Collaborate with cross-functional teams to gather requirements and deliver robust solutions
Perform code reviews, troubleshoot, and resolve complex technical issues
Optimize applications for performance, scalability, and security
Participate in the full software development lifecycle, including testing and deployment
Stay updated with the latest Java technologies and frameworks to drive continuous improvement

Qualifications
Bachelor’s degree in Computer Science, Engineering, or a related field, or equivalent professional experience
Proven expertise in Java programming with strong object-oriented design skills
Extensive experience with the Spring Framework, including Spring Boot and Spring MVC
Solid understanding of microservices architecture and RESTful API design
Familiarity with relational databases such as MySQL or PostgreSQL
Experience with version control systems like Git
Excellent problem-solving and analytical skills with a keen eye for detail
Strong communication and collaboration skills in a remote working environment
Ability to work independently, manage multiple priorities, and deliver within deadlines

Preferred Qualifications
Experience with cloud platforms such as AWS, Azure, or GCP
Knowledge of containerization tools like Docker and orchestration with Kubernetes
Familiarity with CI/CD pipelines and DevOps practices
Exposure to frontend technologies (e.g. Angular, React) is a plus"
7,American Express,Analyst/Sr Analyst Data Analytics,"About the job
At American Express, our culture is built on a 175-year history of innovation, shared values and Leadership Behaviors, and an unwavering commitment to back our customers, communities, and colleagues. As part of Team Amex, you'll experience this powerful backing with comprehensive support for your holistic well-being and many opportunities to learn new skills, develop as a leader, and grow your career.
Here, your voice and ideas matter, your work makes an impact, and together, you will help us define the future of American Express.

Function Description
How we serve our customers is constantly evolving and is a challenge we gladly accept. Whether you’re finding new ways to prevent identity fraud or enabling customers to start a new business, you can work with one of the most valuable data sets in the world to identify insights and actions that can have a meaningful impact on our customers and our business. And, with opportunities to learn from leaders who have defined the course of our industry, you can grow your career and define your own path. Find your place in risk and analytics on #TeamAmex.
The Analytics, Investment & Marketing enablement (AIM) team – is the analytical engine that enables the Global Commercial Services (GCS) card business. The team drives Profitable Growth in Acquisitions through Data, Analytics, AI powered Targeting & Personalization Capabilities.

How will you make an impact in this role?
This Analyst/Assistant Manager data science role, based out of India, part of AIM team would be responsible for US Prospect Analytics for sales channels. The incumbent will be responsible for performing strategic analyses, synthesizing conclusions, and communicating recommendations to partners aimed at driving revenue through prospect acquisitions. The position is part of a highly collaborative environment, interacting with and influencing partners across the Global Commercial Service’s business at American Express. The role will require the incumbent to drive not only sophisticated analysis but also heavy partner management through thought-leadership.
A very important focus for the role shall be quantitatively determining the value, deriving insights, and then assuring the insights are leveraged to create positive impact that cause a meaningful difference to the business. This B30 will support the B35 and would serve as a key interface between various partners – the functional channel owners, the business partners and end-users of analytical solutions and technology partners.

Key Responsibilities include:
Spearheading analytics to drive commercial acquisitions in sales channels for US market using data science, big data capabilities and advanced analytical techniques.
Enable decision making across channels and markets by exploring big data and advanced analytics techniques which includes creating segmentation logic for prioritization of leads and lead intelligence arbitration.
Support and enable the GCS partners with actionable, insightful analytical solutions to help the leadership team evaluate and drive business performance.
A self-initiator who is quick to understand the business and support pilot projects amidst ambiguity.
Independently manage cross-collaboration among marketing, sales, capabilities, and modeling teams to ensure analytics and data science-based strategies are appropriately incorporated and timely deployed / tracked.
Exceptional execution skills – be able to resolve issues, find opportunities, and define success metrics and make things happen.
Excellent communication skills with the ability to engage, influence, and inspire partners and stakeholders to drive collaboration and alignment.
Willingness to challenge the status quo; breakthrough thinking to generate insights, alternatives, and opportunities for business success.

Minimum Qualifications
Degree in a quantitative field preferred – e.g. B. Tech; BSc/MSc Statistics, Bachelors/master’s in economics
Experience in marketing/acquisition analytics/data science; relevant industry experience preferred
Knowledge of Hive, Python, PySpark, SQL encompassing data manipulation and statistical modeling/data-mining techniques and knowledge of decision trees
Strong analytical skills: Applying analytical thinking to diagnose business needs and to establish analytical hypothesis and solutions. Drive insights and recommendations on marketing and product solutions
Strong communication skills enabling ability to interact effectively with business leaders and to present structured and compelling messages addressed to various levels within the organization
Team player: Able to collaborate with partners and team members to define key business objectives, and to align on solutions that drive actionable items
Passion for data science and machine learning: Proven track record of independently developing novel analytical solutions optimizing business processes or product constructs


Compliance Language
American Express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, disability status, age, or any other status protected by law. 
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations."
8,Pixeltalent Lab,HTML CSS Developer Intern,"About the job
Company: Hirebridg Connect Location: Remote Duration: 1–3 Months Stipend: ₹15,000 (Fixed) Perks: Certificate | Letter of Recommendation | Hands-on Training

About Hirebridg Connect Hirebridg Connect offers project-based internships designed to help aspiring front-end developers gain hands-on experience in building responsive websites and user interfaces. Our HTML CSS Developer Internship focuses on layout design, cross-browser compatibility, and clean code practices using modern web standards.

Role Overview As an HTML CSS Developer Intern, you’ll work on designing and implementing user-facing web pages. You’ll gain practical exposure to responsive design, accessibility standards, and collaborative development workflows.

Key Responsibilities Develop responsive web pages using HTML5 and CSS3 Ensure cross-browser and cross-device compatibility Collaborate with designers to translate UI/UX mockups into code Optimize page performance and loading speed Maintain clean, reusable, and well-documented code Participate in version control and code reviews using Git

Requirements Pursuing or recently completed a degree in Computer Science, IT, or related field Proficiency in HTML and CSS fundamentals Familiarity with responsive design principles and media queries Basic understanding of Git and collaborative workflows Attention to detail and design aesthetics Ability to work independently and meet deadlines

What You’ll Gain Practical experience in front-end web development Internship Completion Certificate Letter of Recommendation for top performers Exposure to live projects and modern design standards A portfolio of responsive web pages and clean code samples"
9,Recruit Forge,Software Development Intern,"About the job
Position: Software Development Intern
Job ID: RF289
Work Mode: Remote
Experience Required: Fresher
Stipend: ₹15,000 – ₹20,000 per Month
Working Days: 6 Days a Week
Schedule: Flexible Work Hours
Internship Duration: 6 Months

About the Opportunity
We are looking for a motivated Software Development Intern (SDE I track) to join our engineering team. This role offers the chance to work on production-grade systems, contribute to backend development, gain hands-on experience with modern DevOps practices, and support real-world machine learning integrations. It’s an excellent opportunity to strengthen your backend fundamentals while building practical skills in cloud infrastructure and ML-driven applications.

Key Responsibilities

Backend Development
Assist in designing and building scalable APIs and backend services.
Write clean, maintainable, and testable code using Python (Django/Flask) and JavaScript (Node.js).
Participate in code reviews and contribute to system design and performance improvements.
Work with relational and NoSQL databases, handling schema changes and optimization.

DevOps & Infrastructure
Support the maintenance and enhancement of CI/CD pipelines and deployment workflows.
Gain hands-on experience with Docker and cloud platforms (AWS, GCP, DigitalOcean).
Monitor application health, analyze logs, and contribute to performance and reliability improvements.

Machine Learning & Integrations
Assist in integrating ML models and APIs (e.g., OpenCV, LLMs like OpenAI).
Contribute to model deployment, testing, and performance tuning in production.
Collaborate with ML engineers to gain exposure to real-world AI/ML applications.

Required Qualifications
Strong foundation in data structures, algorithms, and software design.
Proficiency in Python and familiarity with REST APIs.
Knowledge of Docker, Git, and CI/CD workflows.
Interest in cloud platforms (AWS, GCP, DigitalOcean) and DevOps practices.
Curiosity about machine learning applications and how they integrate with software systems.
Problem-solving ability, adaptability, and collaboration skills.

Nice to Have
Projects (academic or personal) involving OpenCV, ML APIs, or backend systems.
Experience working with cloud platforms.
Exposure to frontend frameworks (React, Vue) is a plus but not required.

Eligibility
Students graduating in 2026 or later.
Available to start immediately for a 6-month remote internship.
Able to dedicate 42 hours per week.
Possess relevant skills and interests in software development and related areas.

Perks
Certificate of Completion
Letter of Recommendation
Job Offer (based on performance)
Flexible work hours"
